smiles,homolumogap,C_count,N_count,O_count,S_count,X_count,pi_bonds,Predicted_esm,Predicted_Exp
CC(C)c1cc(C(C)C)c(B2c3ccccc3Oc3cc(N4c5ccccc5C(C)(C)c5ccccc54)ccc32)c(C(C)C)c1,2.849483945,42,1,1,0,0,30,19.77624016,2.466697126
CCCCCCCCCCOc1cc2cc(C#Cc3ccc(/C=C(\C#N)C(=O)O)cc3)c(=O)oc2cc1OCCCCCCCCCC,3.121545226,41,1,6,0,0,22,19.77624016,2.512797126
Cc1cc(C)c(B(c2ccccc2N(c2ccccc2)c2ccccc2)c2c(C)cc(C)cc2C)c(C)c1,2.993674699,36,1,0,0,0,30,19.77624016,2.743297126
Cc1ccc2cc(C)ccc2c1,4.009144125,12,0,0,0,0,11,12.79216548,3.584302288
Cc1cscc1-c1cc2c3cc(-c4cscc4C)c4nc(C(F)(F)C(F)(F)C(F)(F)F)nc5c(-c6cscc6C)cc(c6cc(-c7cscc7C)c7nc(C(F)(F)C(F)(F)C(F)(F)F)nc1c7c26)c3c45,2.520030426,48,4,0,4,14,52,19.77624016,2.190097126
Nc1ccc(/C=C/c2ccc3ccccc3c2)cc1,3.632675439,18,1,0,0,0,18,15.95949975,3.428060991
CCOC(=O)c1c(N)sc(N)c1C(=O)OCC,4.073360656,10,2,4,1,0,7,12.48510826,3.664834114
COc1ccc(-c2cc(-c3ccc(N(C)C)cc3)nc(-c3ccccc3)n2)cc1,3.403767123,25,3,1,0,0,24,19.77624016,3.250397126
c1ccc(N(c2ccccc2)c2ccc(-c3ccc(-c4ccc(N(c5ccccc5)c5ccccc5)cc4)c4nsnc34)cc2)cc1,2.706699346,42,4,0,1,0,46,19.77624016,2.466697126
Cc1ccc(-c2c3nc(c(-c4ccco4)c4ccc([nH]4)c(-c4ccco4)c4nc(c(-c5ccco5)c5ccc2s5)C=C4)C=C3)cc1,2.810803167,39,3,3,1,0,45,19.77624016,2.604997126
O=c1c2cc(C#Cc3ccccc3)ccc2nc2ccc(C#Cc3ccccc3)cn12,3.260826772,28,2,1,0,0,31,19.77624016,3.112097126
Fc1nc(F)c(F)c(C#Cc2cc3c(cc2C#Cc2c(F)c(F)nc(F)c2F)OC2(CCCCC2)O3)c1F,3.451041667,26,2,2,0,8,20,19.77624016,3.204297126
CC1=NN(c2ccccc2)C(=O)/C1=C/c1cn(-c2ccccc2)nc1-c1ccccc1,3.366869919,26,4,1,0,0,26,19.77624016,3.204297126
Nc1cccc2ccccc12,3.985538999,10,1,0,0,0,11,11.89377773,3.642363554
C[Si]1(C)C(c2ccccc2)=Cc2ccccc21,3.730855856,16,0,0,0,0,13,12.67321094,3.395382016
C(#Cc1nc2ccccc2s1)c1ccc(N(c2ccccc2)c2ccccc2)cc1,3.201997423,27,2,0,1,0,29,19.77624016,3.158197126
